productId,productName,retailPrice,wholesalePrice,discontinued,numInBottle
1,Digestion,$32.00,$17.60,,90
2,Digestion - Family Size,$80.00,$44.00,,270
3,Whole Food Vitamin/Mineral,$32.00,$17.60,,90
4,Acute,$40.00,$22.00,,90
5,Optimal B Awake,$32.00,$17.60,,90
6,Opti-BFF Chewables,$48.00,$26.40,,90
7,BonePlus Calcium,$32.00,$17.60,,90
8,Optimal Calm,$36.00,$19.80,,90
9,Chronic,$32.00,$17.60,,60
10,Cort Adrena,$32.00,$17.60,,90
11,Defense,$37.00,$20.35,,90
12,EFA - Essential Fatty Acids,$34.00,$18.70,,60
13,Fat/Sugar/Trim,$34.00,$18.70,,90
14,Flora Plus,$32.00,$17.60,,90
15,Iron,$32.00,$17.60,,120
16,Optimal Lightning Vita-Min Gummies,$48.00,$26.40,,90
17,LipoLean CLA,$70.00,$38.50,,120
18,Liver/Kidney,$32.00,$17.60,,90
19,Longevi-D k2,$37.00,$20.35,,120
20,Muscle Rx,$70.00,$38.50,,300
21,Opti-Nitric,$34.00,$18.70,,90
22,Opti T,$36.00,$19.80,,90
23,OxyPure,$34.00,$18.70,,
24,Optimal Sleep Gummies,$40.00,$22.00,,30
25,Whole C - Chewables,$24.00,$13.20,,60
26,Zinc-Oxy Spray,$42.00,$23.10,,
27,Opti-Adrenal,$36.00,$19.80,,90
28,Opti-Black Seed Pearls,$55.00,$30.25,,200
29,Opti-Brain,$42.00,$23.10,,90
30,Opti-Enviro Detox,$55.00,$30.25,,
31,Opti-Female,$36.00,$19.80,,90
32,Opti-GI,$34.00,$18.70,,90
33,Opti-Glandular,$34.00,$18.70,,60
34,Opti-Heart,$34.00,$18.70,,60
35,Opti-Immune VRL,$37.00,$20.35,,60
36,Opti-Iodine,$34.00,$18.70,,90
37,Opti Lung,$37.00,$20.35,,60
38,Opti-MagnaSTEM,$42.00,$23.10,,60
39,Opti-Metals Detox,$55.00,$30.25,,
40,Opti-Methyl-B,$34.00,$18.70,,90
41,Opti - MitoForce,$34.00,$18.70,,60
42,Opti-Para,$34.00,$18.70,,90
43,Opti-Thyroid,$40.00,$22.00,,
44,Essential B-12 (drops),$40.00,$22.00,,
45,Essential DAK 1K2,$34.00,$18.70,,60
46,Essential Glutathione,$34.00,$18.70,,
47,Essential L-Carnitine,$41.00,$22.55,,
48,Essential Magnesium,$34.00,$18.70,,90
49,Essential Therapeutic Melatonin (drops),$40.00,$22.00,,
50,Essential NADH + DIM,$60.00,$33.00,,30
51,Essential Control,$46.00,$25.30,,60
52,Essential P-5-P,$40.00,$22.00,,60
53,Essential Protect,$48.00,$26.40,,60
54,Essential Resveatrol,$50.00,$27.50,,90
55,Essential D-Ribose (Powder),$40.00,$22.00,,
56,Essential Shrooms,$34.00,$18.70,,60
57,Essential Ubuiquinol,$90.00,$49.50,,60
58,Essential Zinc,$29.00,$15.95,,90
59,Z- Custom Health Pak - 31pk [5 capsules],$73.00,$51.10,,
60,Z- Custom Health Pak - 31pk [6 capsules],$78.00,$54.60,,
